Url,Filename
https://www.daraz.com.np/products/asus-zephyrus-g15-ga503qe-ryzen-9-5900hs-rtx-3050ti-4gb-16gb-ram-1tb-ssd-156-fhd-144hz-i111810761-s1034302903.html?search=1,c42cd86d26_69.csv
https://www.daraz.com.np/products/dell-latitude-e5300-i5-8th-gen-8gb-256-ssd-133-ultrabook-i128496077-s1037571755.html?search=1,f1e135a3f7_70.csv
https://www.daraz.com.np/products/asus-vivobook-go-e1504-intel-core-i3-n305-thin-and-light-laptop-8gb-ddr4-ram-256gb-nvme-ssd-156-fhd-display-silver-i129110758-s1037126709.html?search=1,a67afa6ad0_71.csv
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301-s1036048549.html?search=1,ca07d42844_72.csv
https://www.daraz.com.np/products/dell-laptop-vostro-3520-intel-core-i7-12th-gen-16gb-ram-512gb-ssd-mx550-2gb-156-fhd-120hz-i127488841-s1034542841.html?search=1,849568a084_73.csv
https://www.daraz.com.np/products/asus-vivobook-i512th-gen-16gb512gb14inch-displaynumpadwindows-11-i129371256-s1037373549.html?search=1,05dbfdfc5f_74.csv
https://www.daraz.com.np/products/dell-inspiron-3511-i3-1115g48gb-ram256gb-ssd156-fhdwindows-11-home11th-gen-laptop-i128645315-s1036335660.html?search=1,e68362eea4_75.csv
https://www.daraz.com.np/products/lenovo-ip-slim-3-core-i5-13th-gen-13420h-8gb-ddr-5-ram512-gb-ssd156-fhdwin-11-i128225520-s1035363831.html?search=1,7e86fa182f_76.csv
https://www.daraz.com.np/products/acer-nitro-5-i5-12th-gen-16gb-ddr5-ram-512gb-ssd-rtx-4050-6gb-graphics-156-fhd-144hz-i128490198-s1035977920.html?search=1,a6b3af13b4_77.csv
https://www.daraz.com.np/products/dell-vostro-15-3520-intel-core-i5-1235u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-card-156-fhd-display-i129990928-s1037879291.html?search=1,d02745d817_78.csv
https://www.daraz.com.np/products/hp-victus-15-ryzen-5-7535hs-16-gb-ddr5-ram-512-gb-nvme-ssd156-144hrz-display-4gb-rtx-2050-ddr6-graphicsbacklit-keyboard-win-11-i128639926-s1036378226.html?search=1,e8ef92950f_79.csv
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-512gb-ssd-156-120hz-fhd-black-i128524305-s1036053292.html?search=1,2f2d30a2b8_80.csv
https://www.daraz.com.np/products/acer-aspire-5-i5-13th-gen-1335u-16gb-ddr5-ram-512gb-nvme-ssd-156-fhd-ips-display-iris-xe-graphics-steel-grey-i128124111-s1035200762.html?search=1,065991172b_81.csv
https://www.daraz.com.np/products/asus-zenbook-14-q407iq-laptop-ryzen-5-4500u-mx350-8gb-ram-256gb-ssd-14-fhd-display-i125215411-s1033995702.html?search=1,c6a79de2b4_82.csv
https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925-s1037366468.html?search=1,c87feaa0c3_83.csv
https://www.daraz.com.np/products/dell-5470-intel-celeron-8gb-ram-256gb-ssd-14-fhd-display-backlit-keyboard-black-i125304194-s1034012371.html?search=1,c3940f96bd_84.csv
https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950-s1030070955.html?search=1,4e68293e5a_85.csv
https://www.daraz.com.np/products/asus-zenbook-14x-oled-q410va-core-i5-13500h-8-gb-ddr5-ram-512gb-ssd-145-oled-touch-screen-backlit-keyboard-win-11-i129862218-s1037709151.html?search=1,a47ad9dbea_86.csv
