Date,Actual Price,Discount Price
2024-04-29,382000,382000
2024-05-01,382000,382000
2024-05-04,382000,382000
2024-05-05,382000,382000
2024-05-07,382000,382000
2024-05-09,382000,382000
2024-05-11,382000,382000
2024-05-13,382000,382000
2024-05-14,382000,382000
2024-05-16,382000,382000
2024-05-17,382000,382000
2024-05-18,382000,382000
2024-05-20,176400,176400
