Date,Actual Price,Discount Price
2024-04-29,58000,52996
2024-05-01,58000,52996
2024-05-04,58000,52996
2024-05-05,58000,52996
2024-05-07,58000,52996
2024-05-09,58000,52996
2024-05-11,58000,52996
2024-05-13,58000,52996
2024-05-14,58000,52996
2024-05-16,58000,52996
2024-05-17,58000,52996
2024-05-18,58000,52996
2024-05-29,58000,52996
2024-05-30,58000,52996
