Date,Actual Price,Discount Price
2024-04-29,40000,32998
2024-05-01,40000,32998
2024-05-04,40000,32998
2024-05-05,40000,32998
2024-05-07,40000,32998
2024-05-09,40000,32998
2024-05-11,40000,32998
2024-05-13,40000,32998
