Date,Actual Price,Discount Price
2024-04-29,179990,141990
2024-05-01,179990,141990
2024-05-04,179990,141990
2024-05-05,179990,139990
2024-05-07,179990,139990
2024-05-09,179990,139990
2024-05-11,179990,139990
2024-05-13,179990,141990
2024-05-14,179990,141990
2024-05-16,179990,141990
2024-05-17,179990,141990
2024-05-18,179990,141990
2024-05-29,179990,141990
2024-05-30,179990,141990
2024-05-31,179990,141990
2024-06-01,179990,141990
2024-06-03,179990,141990
2024-06-04,179990,141990
2024-06-15,179990,141990
2024-06-19,179990,141990
