Date,Actual Price,Discount Price
2024-04-29,214999,214999
2024-05-01,214999,214999
2024-05-04,214999,214999
2024-05-05,214999,214999
2024-05-07,214999,214999
2024-05-09,214999,214999
2024-05-11,214999,214999
2024-05-13,214999,214999
2024-05-14,214999,214999
2024-05-16,214999,214999
2024-05-17,214999,214999
2024-05-18,214999,214999
2024-05-29,214999,214999
2024-05-30,214999,214999
2024-05-31,214999,214999
2024-06-01,214999,214999
2024-06-03,214999,214999
