id,brand,model,price,processor,ram memory,display size,storage capacity
91be511ecb,lenovo,IdeaPad 1,20,3,2,11,3
d715de3e96,apple,MacBook Air,14,6,2,6,4
51f267e9dc,dell,Vostro 3520,10,3,2,11,3
40587297ed,acer,Aspire 3,18,3,2,7,4
13bd818985,dell,Vostro 3520,15,5,2,11,4
675fde1716,lenovo,IdeaPad 3,21,3,2,11,4
cfe9be34c9,acer,Swift Go,21,5,4,7,4
1632dc1a18,hp,Spectre x360,22,5,4,5,4
b087e4b6fa,asus,Vivobook S,12,3,2,7,4
e8d7b2f0f2,lenovo,IdeaPad 1,15,3,2,7,4
6d49f80a5e,lenovo,Ideapad Slim,26,3,4,11,4
634c5ed25e,lenovo,2023 IdeaPad,15,3,2,7,3
6b2a7889bd,acer,Intel Core,11,5,2,7,3
9723a709fa,dell,Inspiron 15,29,5,2,11,4
792960f73d,dell,Inspiron 16,51,3,2,11,4
d8fc3616b5,asus,ZENBOOK 14X,13,5,4,8,4
68e12cb3b5,asus,Vivobook 15,22,5,2,11,4
e8257e465b,hp,Envy x360,33,3,2,7,4
d2ecec2976,lenovo,V15 G3,12,3,2,11,4
c632208068,dell,Inspiron 3520,29,3,2,11,4
be4d33368c,avita,LIBER E,13,3,2,8,4
fa24419ea6,asus,zenbook 17,16,5,4,16,5
bc9760ce19,lenovo,ideapad 3,53,2,1,11,5
47b2753f7f,dell,Vostro 3520,11,3,4,11,4
dc2ecc27a1,dell,Vostro 3520,11,3,2,11,4
c4bed7b6d8,asus,Vivobook 14X,13,5,4,7,4
14fc55f212,dell,Inspiron 3511,10,3,2,11,4
e39e8afbd5,acer,Aspire 3,29,3,2,7,4
ec684423bf,dell,Inspiron 7506,21,3,3,11,4
766fd7d620,dell,Latitude 5530,22,5,2,11,4
552bc49a80,asus,ROG Zephyrus,30,8,6,12,5
0e57578459,huawei,MateBook D15,30,3,2,11,4
7cf7242902,dynabook,Tecra A40,21,5,4,7,5
5efa0ed0a6,msi,Laptop Modern,25,3,2,7,3
babfa44db5,dell,Wyse 5470,25,1,2,7,3
496e8bdf51,dell,Inspiron 15,13,2,1,11,5
1634422d79,apple,MacBook Air,26,7,2,10,3
445d281d3f,lenovo,Ideapad Flex,36,3,2,7,4
33ae619611,lenovo,Ideapad Slim,11,3,4,11,4
ae4af2eb63,msi,Laptop Creator,27,5,4,10,4
16cc09183b,lenovo,IdeaPad 1,15,3,2,7,4
7504a44041,msi,Modern 14,22,3,4,7,4
2368368a30,msi,Laptop Modern,32,3,2,11,4
9527887e34,lenovo,IdeaPad 1,6,5,2,7,4
3dbafd932e,asus,VivoBook I5,91,3,2,7,4
d54f8d91d7,dell,Vostro 3400/I5,19,3,2,7,3
6622265cfe,msi,Laptop Modern,32,3,2,11,4
7e54658027,msi,Modern 14,37,3,2,7,4
e28d0971f7,dell,Latitude 3440,11,3,2,7,4
e68d4ced59,msi,Modern 14,27,3,2,7,4
1f5f563936,dell,I5 11th,15,3,2,11,5
dd90ac7780,asus,Exportbook B1402,13,3,2,7,4
d09440a42e,acer,Swift 3,6,3,2,7,3
906917721c,acer,Aspire 3,49,3,2,7,4
27389d3c06,lenovo,ThinkPad T14,37,3,4,7,4
c5aed6b4c1,dell,Vostro 3520,22,2,2,11,4
49f907939d,dell,lnspirion 15,11,5,2,11,4
549ed6d844,msi,Modern 14,19,5,2,7,4
ab0ec730e6,asus,VivoBook M1405YA,18,5,2,7,5
6b15971d31,msi,Modern 15,13,5,2,11,4
1af86b886f,nova,Pro(32/1TB) |,20,5,6,10,5
9baf4ed3de,asus,Vivobook Pro,22,5,4,7,5
77eebdd25c,dell,Inspiron 7430,39,5,2,7,5
8c97c3f338,asus,Vivobook Pro,11,5,4,7,5
4c92e30d3b,acer,Aspire 5,45,2,1,11,2
4834fabe23,asus,vivobook 15,9,3,2,11,4
2d932d980e,hp,Laptop 15,8,2,1,11,3
d38263ff36,asus,zenbook 14,18,5,4,7,4
3190289419,dell,Vostro 3520,14,3,4,11,3
00866757dc,asus,Vivobook Flip,6,8,4,7,5
3cc001963d,asus,Vivobook Pro,24,5,4,7,5
48021be103,hp,15s du2101TU,16,3,1,11,5
4d6ae15441,dell,Inspiron 15,15,2,2,11,4
72ce588768,asus,ZenBook Flip,26,5,4,11,5
cf2edd8717,asus,Vivobook Go,36,2,2,7,4
1a5d286c62,asus,VIVOBOOK 15X,20,3,2,11,4
6da20d8ad6,asus,Zenbook 14,32,3,2,7,4
4126297235,asus,Vivobook Pro,13,8,4,11,5
f34b6eefd8,asus,Zephyrus G14,34,8,4,7,5
5ab98eb972,msi,Laptop Modern,23,5,2,11,4
b530caf78a,dell,vostro 3400,48,3,2,7,3
f704e949f8,dell,Inspiron 14,36,5,4,7,4
3b9f5db99d,msi,Modern 14,13,5,2,7,3
8427e9391d,asus,Vivobook 14X,35,8,4,7,5
bf7d1e8bb8,dell,Latitude 3420,10,3,2,7,4
edcbc3a901,dell,Vostro 3401,20,2,1,7,3
bd44e21288,xlab,x Book,13,2,2,11,3
1b9aac9212,asus,Zenbook 14,12,5,4,7,5
9c5b90c9f1,asus,Vivobook Pro,36,8,4,7,5
f9de3ee931,asus,Zenbook S,10,5,4,4,5
c976bd304f,asus,Vivobook Flip,13,3,2,7,4
be1762b0ed,asus,Vivobook 14X,10,5,5,7,4
