graphics card,name,url,details
nan,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728-s1032434216.html?search=1,Brand  Dell Dell Vostro 3520 I312th gen 8GB DDR4 RAM Expandable up to 16GB 512GB SSD NVMB  Additional HDD slot available for storage expansion Intel® UHD Graphics with shared graphics memory 156inch HD Antiglare LED Backlight 2 Side Narrow Border WVA Display 2 USB 32 Gen 1 port1 USB 20 port1 Audio jack1 HDMI 14 port1 FlipDown RJ45 port 101001000 Mbps 3Cell Battery 41WHr Integrated 80211ac 1x1 WiFi and Bluetooth
4050,"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz",https://www.daraz.com.np/products/acer-nitro-5-i5-12th-gen-16gb-ddr5-ram-512gb-ssd-rtx-4050-6gb-graphics-156-fhd-144hz-i128490198-s1035977920.html?search=1,"Brand Acer Model Nitro 5 Processor Intel Core i5 12th Generation 12450H Memory 16GB DDR5 Memory Storage 512GB PCIe NVMe SSD Graphics NVIDIA GeForce RTX 4050 with 6GB GDDR6 Display 156"" FHD 144Hz SlimBezel OS Windows 11 Battery 57Wh Liion Battery Warranty 1Year Warranty"
4050,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty",https://www.daraz.com.np/products/acer-nitro-v-15-2023-13th-gen-intel-core-i5-13420h-processor-8gb-ddr5-ram-4800mhz-512gb-pcie-nvme-ssd-nvidia-rtx-4050-6gb-graphics-156-fhd-144hz-display-gaming-laptop-acer-nitro-laptop-black-1-year-warranty-i130030136-s1037906231.html?search=1,13th Generation Intel Core i5  13420H Processor 8GB DDR5 RAM | 512GB Nvme M2 SSD Storage 156 Inch FHD 144Hz Display | RTX 4050 Graphics 1 Year Warranty | Genuine Windows 11 Home
4050,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz",https://www.daraz.com.np/products/acer-nitro-v-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009-s1038235947.html?search=1,"Brand Acer Model Nitro V Processor 13th Generation Intel Core i713620H Processor 10C 6P + 4E  16T Pcore 2449GHz ECore 18  36GHz 24MB Memory 16GB DDR5 Storage 512GB NVMe SSD Graphics Nvidia Geforce RTX 4050 6GB Display 156"" FHD 144Hz White Backlit Keyboard OS Windows 11 Warranty 1Year"
2050,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display,https://www.daraz.com.np/products/hp-victus-15-fb1013dx-amd-ryzen-5-7535hs-processor-8gb-ram-512gb-storage-nvidia-rtx-2050-graphics-156-inch-fhd-144hz-display-i129862643-s1037713180.html?search=1,"AMD Ryzen 57535HS Processor 16GB RAM | 512GB SSD Storage 156"" FHD 144Hz Display | NVIDIA RTX 2050 4GB 1 Year Warranty | Windows 11 Home"
2050,HP Victus 15 Gaming Laptop AMD Ryzen 5 7535HS / 8GB DDR5 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 2050 4GB Graphics / 15.6″ FHD 144Hz Display / Windows 11 Home,https://www.daraz.com.np/products/hp-victus-15-gaming-laptop-amd-ryzen-5-7535hs-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-geforce-rtx-2050-4gb-graphics-156-fhd-144hz-display-windows-11-home-i128739472-s1036911476.html?search=1,【6core AMD Ryzen 5 7535HS】12 threads and 16MB L3 cache enable you to dominate virtual battles and take on the toughest challenges with fast processing speeds and gamechanging power 【4 GB NVIDIA GeForce RTX 2050 Laptop GPU】Experience immersive lifelike gameplay with 50W TGP and accelerate heavy workflows with highspeed data processing video editing and rendering 【Upgraded memory and storage】Make room for all your games with 512GB PCIe Gen4 NVMe TLC M2 SSD Plus get 8GB DDR5 RAM that lets you take on any opponent with improved system responsiveness 【Microedge display】The 156inch FHD 250nit 144Hz antiglare and microedge display keeps you in the thick of action with a fast 9 ms response time and 8223% screentobody ratio 【Effortless connectivity for uninterrupted gaming sessions】WiFi 6 2×2 and Bluetooth 53 1 x USB TypeC 2 x USB TypeA and 1 x HDMI 21 ports provide seamless swift connections 【Long battery life】Fast charge your device to 50% in 30 mins and indulge in long gaming marathons with a 4cell 70Wh battery that lasts up to 6 hours for nonstop play 【Enhanced collaboration】Team up with your mates in pristine clarity with HP Wide Vision 720p HD camera temporal noise reduction backlit keyboard and audio by B&O 【Warranty】One year warranty against manufacturing defects
nan,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788-s1037011250.html?search=1,"Brand Dell Model Vostro 3520 Processor Intel Core i3 12th Generation 1215U 10M Cache 6Cores 8 Threads Memory 16GB DDR4 RAM Storage 512GB NVMe SSD Display 156"" 120Hz FHD Display Battery 3Cell Battery Color Carbon Black Warranty 1Year Warranty"
4050,"Acer Nitro V i5 13th Gen 13420H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11",https://www.daraz.com.np/products/acer-nitro-v-i5-13th-gen-13420h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-win-11-i129858201-s1037711267.html?search=1,"Brand Acer Model Nitro V Processor Intel Core i5 13th Generation 13420H 210GHz with Turbo Boost up to 450 GHz 8 Core12 Thread Memory 16GB DDR5 Storage 512GB NVMe SSD Graphics Nvidia Geforce RTX 4050 6GB Display 156"" FHD 144Hz RGB Keyboard OS Windows 11 Warranty 1Year"
3050,HP Victus 15 i5 13th Gen 16GB 512GB RTX 3050 15.6 144Hz Win 11,https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-16gb-512gb-rtx-3050-156-144hz-win-11-i128127277-s1035225039.html?search=1,"HP Victus 15 Core i513450H 4P+4E12T CPU 46 GHz Turbo 12MB cache 16GB DDR4 3200 MHz 512GB M2 PCIe NVMe SSD 156"" FHD 1920x1080 169 144Hz 9ms 250nits 45% NTSC Antiglare IPS Display NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics WiFi 6 2x2 + BT 53 Backlit Keyboard with numeric Keys 720p HD Webca Budget Gaming Laptop with High power efficiency"
3050,"Acer Nitro V 15 Intel Core i5 13th Gen 13420H - 8GB DDR5 RAM - 512GB NVMe SSD - NVIDIA RTX 3050 6GB Graphics - 15.6"" FHD 144Hz Display - Backlit Keyboard",https://www.daraz.com.np/products/acer-nitro-v-15-intel-core-i5-13th-gen-13420h-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-rtx-3050-6gb-graphics-156-fhd-144hz-display-backlit-keyboard-i128519019-s1036044368.html?search=1,"Processor Intel Core i513420H processor  8cores max turbo up to 460 Ghz | RAM  8 GB of DDR5 system memory upgradable to 32 GB Memory Frequency Up to 5200 MTs Display  156"" display with IPS InPlane Switching technology Full HD 1920 x 1080 Acer ComfyView LEDbacklit TFT LCD 169 aspect ratio supporting 144Hz refresh rate Graphics  NVIDIA GeForce RTX 3050 with 6GB of dedicated GDDR6 Storage  512GB SSD PCIe Gen4 16 Gbs NVMe  Upgradable Upto 2*1 TB SSD Ports 1 x USB 32 Gen 1 port with poweroff charging 1 x USB 32 Gen 1 port 1 x USB TypeC port Thunderbolt  | Features Backlit keyboard One year warranty against manufacturing defects"
